jd_sentence_text	jd_sent_manual_label_NEW
"Experienced with laboratory test equipment such as, oscilloscopes, logic analyzers, digital voltmeters, pneumatic controls, humidity sensors, pressure sensors, actuators, etc."	Experience
Experience developing applications with Qt or MFC.	Experience
Equal Opportunity Employer	EOE
Payformance is looking for a Front End Engineer to join its growing team in Chicago.	Position_Role
Bachelors or Masters from an accredited college/ university in Computer Science or Engineering	Education
Payformance Solutions is an equal opportunity employer.	EOE
"All qualified applicants will receive consideration for employment without regard to, among other things, race, color, religion, sex, sexual orientation, gender identity, national origin, age, status as a protected veteran, or disability."	EOE
"Required Bachelors or foreign equivalent in Computer Science, Computer Information Systems, Engineering (Any), MIS or any related field + 5 years of experience with the same or similar job duties but given another designation."	Or_Edu_Exp
Must be able to travel/	Location_Travel
"We are seeking a Cloud Operations QA Engineer to be responsible for validation of the quality, performance, resiliency, and security of Bose's cloud-based services, which enable customer experiences across our devices (speakers, headsets, and home theatre), mobile applications, and cloud partners such as music services, voice personal assistants, and integrators."	Position_Role
"Bose is transforming the way audio devices interact with the Cloud, creating new experiences for connecting people to what they love the most, whether you are in-the-home or on-the-go."	About_Company
"We are imagining new data-driven experiences, designing new services, building software architecture and infrastructure, and scaling our solutions to serve millions of customers."	About_Company
"Experience developing or testing cloud-based microservices AWS, Azure, or similar platforms"	Experience
"Mastery of Python, Perl, JavaScript, or similar scripting languages"	Skill_Knowledge
Bose is an equal opportunity employer that is committed to inclusion and diversity.	EOE
"We evaluate qualified applicants without regard to race, color, religion, sex, sexual orientation, gender identity, genetic information, national origin, age, disability, veteran status, or any other legally protected characteristics."	EOE
"Unlimited Vacation, Paid Sick Days & Holidays"	Benefits
"100% Employee Covered Medical, Dental, Vision Plan Base Plan"	Benefits
"Life Insurance, 401k, Flexible Spending Accounts, Commuter Benefits & More"	Benefits
Catered Lunches & Well-stocked Kitchens	Benefits
Yoga & Wellness Activities	Benefits
Happy Hours	Benefits
Company Events	Benefits
Dog Friendly	Benefits
Strong communication skills that span varying development disciplines.	Soft_Skills
Passion for learning new systems and technologies with a high degree of ownership.	Soft_Skills
Experience with Agile development methodology.	Experience
We are succeeding because they are succeeding.	About_Company
Bachelor's Degree or military experience	Or_Edu_Exp
Master’s Degree	Education
"At this time, Capital One will not sponsor a new applicant for employment authorization for this position."	Authorization_Clearance
Define key solutions and ensure they are managed.	Responsibility
This role is responsible for ensuring that architectural model(s) are in alignment with the business needs of the organization and also anticipates the future needs of the organization in a sustainable and adaptable manner	Responsibility
"(Master data management & metadata repository): Responsible for leading the design and support of system-wide Enterprise Analytics models, business intelligence applications and architecture."	Responsibility
Understands existing infrastructure in order to develop a model that reduces costs and improves information flow across existing silos and that activities/capabilities are not unnecessarily duplicated across the organization.	Responsibility
"Bachelor's Degree in Computer Science, Computer Engineering or Information Technology is preferred or other degree with significant related IT and leadership experience."	Or_Edu_Exp
Experience working in a matrixed organization.	Experience
"Experience working with Microsoft Business Intelligence Tools; SSAS, SSRS, SSIS, Visual Studio, Business Intelligence Development Studio required."	Experience
"Piper Companies is looking for a UI Engineer to join a Fortune 500 company located in the Arlington, Virginia (VA) area."	Position_Role
Experience working in a Java based application	Experience
Experience with cloud-based applications	Experience
Elite 401k Match	Benefits
"We are proud that team member feedback has resulted in our being recognized as a Best Place to Work by The Washington Post, The Washingtonian, the Washington Business Journal, and Virginia Business Magazine."	About_Company
"We offer a comprehensive benefits package, 401K, and many opportunities for professional growth and advancement."	Benefits
"Tyler is a nationally recognized provider of integrated system solutions and professional services, and serves clients in more than 21,000 installations across 10,000 state and local government locations in all 50 states, Canada, Puerto Rico, the United Kingdom and Australia, as well as more than 200 U.S. federal agencies."	About_Company
"Defect reports and test documentation are accurate, concise, understandable, and traceable to requirements"	Responsibility
Communication: Correspondences with on and off shore resources are delineated to reduce delays caused by unclear language	Responsibility
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, or disability."	EOE
"BS/ MS in Computer Science, Information Systems, or related field"	Education
Strong written and verbal communication skills are a must	Soft_Skills
Traveling onsite to meet with our clients around one week per month	Location_Travel
"Experience working with external clients and stakeholders — including consulting, difficult conversations, solutioning and enforcing best practices"	Experience
Experience presenting complex ideas to clients and team members in a compelling and energetic way	Experience
"Experience in a client services environment (e.g. digital agency, heavy client facing)"	Experience
"Experience with advanced automation tools (e.g. virtualization, machine learning based testing, massive parallelization)"	Experience
"Experience with multiple test automation frameworks across different platforms (iOS, Android, Web Apps)"	Experience
Experience building test strategies for the SDLC of a product	Experience
Experience conducting 1:1s with individuals	Experience
Experience working with diverse teams made up of various backgrounds and skills to produce something awesome	Experience
Experience conducting interviews and hiring for your team	Experience
Check out what others are saying (   ) about us/join the conversation.	About_Company
"In addition to the benefits you'd expect — competitive pay, health insurance, 401k, etc"	Benefits
"WillowTree celebrates our differences and provides equal employment opportunities to all team members and applicants without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."	EOE
We are currently seeking an IT Test Engineer IV.	Position_Role
"Bachelor of Science in Computer Science, Engineering, Mathematics, Physics or equivalent experience."	Or_Edu_Exp
"Experience with configuration management tools, e.g. SVN, RTC/Jazz, GitHub, etc."	Experience
Experience working in a startup environment.	Experience
"Experience with continuous integration tools, e.g. Jenkins."	Experience
Experience testing mobile applications.	Experience
Experience in developing Maximo test cases.	Experience
Experience developing automated browser-based tests using tools such as Selenium.	Experience
Experience with Java and/or Python development.	Experience
Experience using Windows and Linux.	Experience
"Experience with application test planning and test development with particular emphasis in testing scientific data collection, data production, data analysis, modeling, and data publishing solutions."	Experience
"Battelle’s competitive benefits program includes comprehensive medical and dental care, matching 401K, paid time off, flexible spending accounts, disability coverage, and other benefits that help provide financial protection for you and your family."	Benefits
"Battelle provides employment and opportunities for advancement, compensation, training, and growth according to individual merit, without regard to race, color, religion, sex (including pregnancy), national origin, sexual orientation, gender identity, marital status, age, genetic information, disability, veteran status, or any other characteristic protected under applicable Federal, state, or local law."	EOE
"We are looking for talented individuals to join our growing development team supporting the expansion of our highly innovative software product Genedata Profiler®, a powerful solution that pioneers new approaches to streamline the translational research process."	Position_Role
We are looking for smart developers who are:	Position_Role
Experience with our stack is a plus	Experience
"We are headquartered in Basel, Switzerland and have subsidiaries in Germany, US, UK, Japan and Singapore."	About_Company
Legal authorization to work in the United States on a full-time basis for any employer is required.	Authorization_Clearance
Genedata is an Equal Opportunity Employer.	EOE
"Aetna is looking for a Application / Production Support Engineer to join the team in Denver, CO."	Position_Role
"Participate in the Scrum teams, retrospective meetings and sprint planning sessions."	Responsibility
Assist scrum teams in completing backlog stories when there are no incidents.	Responsibility
"Experience with scripting languages such as Python, Bash, Ruby or Javascript"	Experience
Experience with Docker/Kubernetes and container orchestration.	Experience
Experience with software-defined and traditional networking.	Experience
"Experience with server administration, monitoring, and troubleshooting."	Experience
Experience with IaaS and PaaS.	Experience
Experience building cloud infrastructure using infrastructure-as-code tools like AWS CloudFormation or Terraform.	Experience
Dollar-for-dollar match up-to 6% of your 401(k) contributions!	Benefits
"Health care (HSA/FSA), dental, vision benefits, PTO"	Benefits
Gym / Showers	Benefits
"Aetna-sponsored refreshments, Friday lunches, etc."	Benefits
"$200/yr towards wellness - gym membership, fitbit, treadmill"	Benefits
"Reimbursement also available for additional Certification, Training & Conferences"	Benefits
Percent of Travel Required:	Location_Travel
"Aetna is an Equal Opportunity, Affirmative Action Employer"	EOE
"Bachelor’s degree in Computer Science, or similar quantitative field, or related industry experience"	Or_Edu_Exp
"Experience in communicating with users, other technical teams, and senior management to collect requirements, describe software product features, and influence both product strategy and outcomes in technical decision-making"	Experience
"Location: Plano, TX, United States -"	Location_Travel
We are looking for a highly experienced Front-End Senior Engineer - Browse to join our team.	Position_Role
"Experience building high-performant, heavy-traffic sites using JS Frameworks (React, Angular, Ember, etc)"	Experience
"Experience with CSS Preprocessors (SASS, LESS, PostCSS)"	Experience
Work experience in Agile Scrum methodologies	Experience
Experience with Adaptive/Responsive Design Principles	Experience
"Bachelors of Science Degree in Computer Information Systems, or equivalent work experience"	Or_Edu_Exp
"We offer a competitive benefits package including medical/dental/vision, term life insurance, paid vacation/holidays, 401(k) Savings Plan with company match, and an associate discount on JCPenney merchandise."	Benefits
"Experience with catalog management, food ordering and delivery related systems"	Experience
Experience building apps for iOS and/or	Experience
"We are looking for a competent IT Systems/Network Engineer who has years of experience in design, implementation, and maintenance of computer networks, systems, and services."	Position_Role
Experience in implementing Email Spam Filer and Web Filters.	Experience
"Must have CCNP or above Cisco certification, or have equivalent hands-on work experience over 5 years."	Certification
(Expired certification is also accepted).	Certification
Must have MCSE or equivalent hands-on work experience over 5 years (Expired certification is also accepted).	Certification
Experience in planning and implementing Microsoft Exchange Servers (2007 or above) migration to upper version on on-premise Exchange servers or to Office365’s Exchange Online Server.	Experience
"Experience in designing and deploying a new Microsoft Exchange Server including DNS record update, UCC install and renewal, Spam Filter integration, Data backup system integration, and client Outlook and ActiveSync devices setup."	Experience
Experience in Office365 Administration.	Experience
Experience in Google G-Suite Administration is a plus.	Experience
Experience in Microsoft Azure IaaS design and administration is a plus.	Experience
Experience in Amazon AWS IaaS design and administration is a plus.	Experience
Experience in VeloCloud equipment and services is a plus.	Experience
"Experience with developing test tools, and automated testing of software components/objects"	Experience
Experience programming in C/C++ or another programming language	Experience
"Experience testing web service and technologies being used with web services (e.g. REST and JSON, XML, HTTP, Web Server, etc.)"	Experience
Webroot Inc. is an Equal Opportunity Employer.	EOE
"Location: Broomfield, CO, United States"	Location_Travel
Equivalent experience to a Bachelor's degree based on 3 years of work experience for every 1 year of education	Or_Edu_Exp
"Experience in communicating with users, other technical teams, and management to collect requirements, describe software product features, and technical designs"	Experience
Experience improving web latency in complex large scale deployments	Experience
Experience with online advertising technologies and infrastructures	Experience
Experience building A/B testing systems	Experience
Advanced CS Degree	Education
Experience using Amazon Web Services (AWS) desirable	Experience
Experience with advertising business is a plus	Experience
Minority / Women / Disability / Veteran / Gender Identity / Sexual Orientation.	EOE
Symantec is the global leader in the rapidly changing Security industry and we are looking for ambitious Engineers to join our teams.	Position_Role
Experience in designing across platforms and devices.	Experience
"Agile experience (Scrum, Kanban, Scrumban)"	Experience
Education :	Education
"BS in HCI, Cognitive Science, User Centered Design, Fine Arts or Computer Science related field"	Education
Minimum of 3-5 years related experience (or Masters and 1 + years related experience)	Or_Edu_Exp
Symantec is proud to be an equal opportunity employer.	EOE
"All employment decisions are based on merit, experience, and business needs, without regard to race, color, national origin, age, religion, sex, pregnancy (including childbirth or related medical conditions), genetic information, disability (physical or mental), medical condition, marital status, sexual orientation, gender identity or gender expression, military or veteran status, or any other consideration made unlawful by federal, state, or local law."	EOE
"Experience with high-level programming languages like Python, Ruby, Perl, Go or similar"	Experience
"Experience deploying, operating and debugging server software on Linux at scale"	Experience
"Experience in configuration management tools like Ansible, Chef or similar"	Experience
"The Apple Media Product (AMP) team is looking for a hardworking software QA automation engineer with a strong analytical background to test, develop, and maintain automation frameworks for the AMP pricing systems."	Position_Role
"Bachelor's degree in Computer Science, Computer or Electrical Engineering, Mathematics, a related field, or equivalent work experience."	Or_Edu_Exp
"Experience developing in at least one of: Java, C++, Python, Ruby"	Experience
AWS Infrastructure is looking for an experienced Software Development Engineer to build next generation data acquisition and monitoring software for our data centers.	Position_Role
Experience with the Linux operating system and user-level tools	Experience
Experience in Agile/Scrum framework/methodologies	Experience
"Experience in designing and implementing scalable, reliable, distributed software systems"	Experience
Experience using AWS services	Experience
"We're looking for a motivated, experienced Senior Backend Engineer to join our growing team."	Position_Role
Education and Experience:	Or_Edu_Exp
"BS in Computer Science, Computer Engineering, or highly similar degree is required."	Education
Experience building and using RESTful APIs.	Experience
Experience with Relational Databases and SQL (MySQL preferred).	Experience
"Experience with AWS Services such as EC2, RDS, Elastic Beanstalk, S3 and SQS."	Experience
Experience with RSpec or similar unit test frameworks for RoR.	Experience
"Our benefits: We offer competitive compensation, generous benefits, free food and a flexible vacation policy."	Benefits
We are an equal opportunity employer and value diversity at our company.	EOE
"We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."	EOE
Experience in building web applications and services	Experience
Experience developing REST APIs	Experience
"Experience building websites using HTML, CSS, and JavaScript"	Experience
"We are looking for developers who enjoy working in a collaborative environment, have a deep sense of curiosity, and a desire to learn."	Position_Role
"BS/MS degree in computer science or related field, equivalent experience"	Or_Edu_Exp
"Experience with popular web development frameworks (e.g. React, Angular, ...)"	Experience
Experience with Redis and message queues such as Kafka	Experience
Experience with CI/CD	Experience
Experience with performance analysis	Experience
Experience with test driven development	Experience
Experience with processing large data sets (ETL) using technologies like Spark	Experience
Experience creating scalable web services	Experience
Sponsorship not available for this position at this time.	Authorization_Clearance
Experience working closely with Backend Engineers on API design	Experience
Experience building production quality applications from scratch	Experience
"* Health, dental and vision benefits"	Benefits
*** 401K with matching	Benefits
TrueAccord is an equal opportunity employer.	EOE
Experience developing with ReactJS and working with RESTful APIs	Experience
Bachelor's degree (or above) in Computer Science or related fields	Education
Experience building products in a small team environment	Experience
Experience using and building component libraries	Experience
OmniSci is seeking a Backend Engineer to add to its software development team.	Position_Role
BS or higher degree in Computer Science or equivalent work experience.	Or_Edu_Exp
Experience with data analytics and/or analytics engines	Experience
Bachelor of Science degree in Electrical/Computer Engineering or Computer Science	Education
Master of Science in Electrical/Computer Engineering or Computer Science	Education
Equal opportunity employer.	EOE
"This company considers candidates regardless of race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status."	EOE
Bachelor’s degree in Computer Science or other related discipline	Education
Experience with continuous integration and continuous deployment is a plus	Experience
Experience working with AWS is a plus	Experience
"Experience designing and implementing web applications, with a preference to JavaScript, node and Angular"	Experience
We are looking for a senior full stack software engineer to join our startup working on a technology platform that will help millions of retirees make their retirement savings go further.	Position_Role
We are a privately held company that places a high degreeof value in creating and nurturing a work environment that attracts the besttalent and reflects our commitment to our associates.	About_Company
FidelityInvestments is an equal opportunity employer.	EOE
Experience Leading an Agile Development team	Experience
"Experience with developing Java REST services – Spring, Jersey"	Experience
"Experience with test automation and test-driven development practices and frameworks – mutation testing, functional testing (NodeJS, Jasmine, JUnit, Cucumber), mock frameworks (Mockito, etc.), contract testing"	Experience
"Experience with API management platforms, design standards, patterns and best practices is a plus"	Experience
Undergraduate degree in a related field or the equivalent combination of training and experience	Or_Edu_Exp
Vanguard is not offering visa sponsorship for this position.	Authorization_Clearance
"Experience writing tests in mobile environments such as Espresso, Java, Kotlin, Objective-C, Swift, Appium, or Selenium."	Experience
Experience integrating test harnesses and test results into continuous integration and build environments.	Experience
"Experience with Charles Proxy, Fiddler, or other related networking tools."	Experience
"Bachelor's or degree in Computer Science, Computer Engineering, or related technical field."	Education
Associate's degree with significant experience will be considered.	Or_Edu_Exp
Boundless snacks and drinks	Benefits
"Excellent medical, dental and vision benefits"	Benefits
Location.	Location_Travel
"We are looking for an experienced Senior Full Stack Engineer with expertise in designing and developing applications including new developments, enhancements, maintenance and support for the Enterprise Business Resiliency/Technology Resiliency team."	Position_Role
"Your experience with DevOps, CI/CD tools like Jenkins, uDeploy, Stash and Docker, Agile Methodology (SCRUM, Jira)"	Experience
We are a privately held company that places a high degree ofvalue in creating and nurturing a work environment that attracts the best talentand reflects our commitment to our associates.	About_Company
"Due to rapid growth and increased demand for our Privacy Management platform, OneTrust is seeking an experienced Cloud Operations Support Engineer in the Atlanta area for this high-profile team."	Position_Role
"OneTrust provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws."	EOE
"Seeking local candidates living in Raleigh-Durham, NC."	Location_Travel
"Experience with QRDA Submissions, document structure and CMS."	Experience
Education & Relevant Experience	Or_Edu_Exp
"BS/BA or MS in Computer science, information systems, or other technology/science degree."	Education
"Because of our deep commitment to respect every individual, Health Catalyst is an equal opportunity employer."	EOE
BS/BA Degree required	Education
Experience working with Django	Experience
Experience with version control and project process	Experience
Experience writing unit and functional tests	Experience
We are looking for a driven and dedicated Software QA Engineer.	Position_Role
"Experience in developing test plans, test cases, assessing risk and filing appropriate defects"	Experience
"Experience in test automation using scripting or high level languages (e.g., Python, JavaScript, Shell, Objective-C)"	Experience
Experience with either/or Computer Vision or Augmented Reality Software/	Experience
"Experience in developing software automation of low-level and user-level using scripting languages such as Python, Perl or JavaScript"	Experience
"Magic Leap is an eclectic group of visionaries, rocket scientists, wizards, and gurus from the fields of film, robotics, visualization, software, computing, and user experience."	About_Company
Experience in testing localization frameworks and GUI testing of layouts for applications	Experience
Experience in Python/C/C#/C++ in a production environment is a plus	Experience
"Experience with analyzing requirements, test planning / execution, automated testing and reporting"	Experience
Experience with testing mobile applications and / or embedded system testing	Experience
"Experience with testing social media, chat, contacts, sharing related applications within an embedded system is desirable"	Experience
Experience with testing 3D computer graphics/AR/VR is a plus	Experience
"and we're looking for a Sr. Manager, Data Engineering to join our Data Engineering team."	Position_Role
B.S. or B.A. in computer science or a related field	Education
"Experience with open source big data technologies (HDFS, Hive, Presto, Pig, MapReduce)"	Experience
"Experience designing, developing and deploying data pipelines"	Experience
Experience managing and mentoring a small team of data engineers	Experience
Experience with AWS ecosystem	Experience
Equal Opportunity Employer:	EOE
"IAS is an equal opportunity employer, committed to our diversity and inclusiveness."	EOE
"We will consider all qualified applicants without regard to race, color, nationality, gender, gender identity or expression, sexual orientation, religion, disability or age."	EOE
"Radiant Solutions is looking for an experienced Software Developer to join our team of systems engineers, software engineers, and geospatial experts to support the development and deployment of several satellite image processing remote ground systems."	Position_Role
"Bachelor's degree or higher in Computer Science, Computer Engineering, Electrical Engineering, or other relevant field."	Education
Experience working in Agile/Scrum development team	Experience
"Experience with continuous integration principles/tools (Bamboo, Jenkins, etc)"	Experience
Must be a U.S. Citizen and be willing and able to obtain a US security clearance.	Authorization_Clearance
"Current, active TS/SCI security clearance"	Authorization_Clearance
"MAXAR Technologies offers a generous compensation package including a competitive salary; choice of medical plan; dental, life, and disability insurance; a 401(K) plan with competitive company match; paid holidays and paid time off."	Benefits
We recently opened our West Loop location and are actively growing and looking for talent that wants to be a part of a rapidly expanding office.	Location_Travel
Experience with Java or a similar OO language	Experience
Experience with relational databases and SQL	Experience
"Experience with open source technologies like Linux, Apache/Tomcat and MySQL"	Experience
Bachelor’s	Education
/Master's degree in Computer Science or a related discipline	Education
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, national origin, age, disability, gender identity, or veteran status."	EOE
Experience with multiple Javascript frameworks	Experience
Experience with CSS preprocessors	Experience
"Experience building mobile first, responsive websites"	Experience
Experience using code versioning tools such as Git	Experience
Experience mentoring junior developers	Experience
Experience with Agile development methodology	Experience
Experience with building and integrating with RESTful API’s	Experience
"Experience writing unit, automated and integration tests"	Experience
Experience with React and Redux	Experience
Experience with ExpressJS	Experience
Experience with GraphQL	Experience
"Experience with AWS Services (EC2, S3, ELB, Cloud Front,"	Experience
Experience with PHP	Experience
"Understanding of Agile, Scrum or other iterative development methodologies"	Responsibility
"Experience with using modern IDEs (Eclipse, Visual Studio) and SCM tools (SVN, Git)"	Experience
Bachelor’s degree in Computer Science or a related major	Education
Willingness to travel up to 50%	Location_Travel
"Acumen Solutions offers the opportunity for growth and advancement, as well as a competitive base salary, annual performance based incentives, medical benefits & 401k."	Benefits
We're looking for a Data Engineer for our Chicago office to join us in building our next generation data processing platform.	Position_Role
"Experience with Hadoop MapReduce, Spark, Pig"	Experience
Experience with Spark	Experience
We are seeking a Senior Software Data Quality Assurance Engineer to ensure Quality Standards of Excellence are achieved across Optimizely’s Data Platform.	Position_Role
"Expertise in fields with concentration on data transformations, data manipulations, and reporting."	Skill_Knowledge
"Experience testing RESTful web APIs, both manually and through automation."	Experience
Experienced in Designing Test Automation Frameworks in Java.	Experience
Experience with automated testing in a continuous integration environment.	Experience
Catered in-office lunch on weekdays	Benefits
Full medical insurance with very low co-pay and deductible.	Benefits
Full dental coverage including orthodontics	Benefits
"Dependents 100% covered for medical, dental, and vision"	Benefits
Unlimited vacation policy and seventeen weeks of paid parental leave	Benefits
401k benefit	Benefits
"At Optimizely, we embody inclusion and embrace diversity."	EOE
Optimizely is an equal opportunity employer and makes employment decisions on the basis of merit.	EOE
"Optimizely prohibits discrimination based on race, color, religion, sex, sexual identity, gender identity, marital status, veteran status, nationality, citizenship, age, disability, medical condition, pregnancy, or any other unlawful consideration."	EOE
The VMC on AWS GovCloud Operations team is looking for a DevOps engineer with a diverse set of experiences and skill-sets to help deploy VMware’s exciting new Software Defined Data Center as a Service (SDDCaaS) fleet running on AWS infrastructure.	Position_Role
Active Top Secret/SCI clearance with Polygraph	Authorization_Clearance
"BS in Computer Science or related technical field, or equivalent industry experience"	Or_Edu_Exp
Experience with Amazon Web Services or other Public Cloud products	Experience
Experience working in a software application development environment	Experience
"Experience with CI/CD tools such as circleCI, Jenkins, Tavis, codepipeline"	Experience
Experience working in a highly secure environment	Experience
This role will require up to 25% travel on a monthly basis during the first 6 months in this role	Location_Travel
"Experience operating, troubleshooting, and scaling online services"	Experience
Experience reviewing security scans and remediating vulnerabilities	Experience
"Experience with modern container orchestration systems: e.g. Kubernetes, Mesos, DC/OS, Swarm"	Experience
"Experience with monitoring solutions: e.g. ELK, Splunk, SUMO, Nagios, Prometheus"	Experience
Experience with Jira Service Desk and PagerDuty or similar tools	Experience
Experience with Change Management processes and functions	Experience
Experience with various data management technologies including relational and non-relational databases and message queue	Experience
This job opportunity is not eligible for employment-based immigration sponsorship by	Authorization_Clearance
"With 2018 revenues of $7.9 billion, VMware has more than 500,000 customers, more than 75,000 partners, and 20,000+ employees in 120+ locations around the world."	About_Company
VMware is an Equal Opportunity Employer and Prohibits Discrimination and Harassment of Any Kind: VMware is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment.	EOE
"All employment decisions at VMware are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate."	EOE
Must be a U.S. citizen with the ability to obtain and maintain an active secret clearance	Authorization_Clearance
Active secret clearance	Authorization_Clearance
WORKING LOCATIONS & ADDITIONAL INFO	Location_Travel
"Location: Lexington, MA"	Location_Travel
"Employment Status: Full-Time Employee with full benefits (Medical, Dental, Vision, STD, LTD, PTO, Retirement)"	Benefits
"Odyssey Systems Consulting Group, LTD. is an Equal Opportunity/Affirmative Action employer."	EOE
"All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, pregnancy, national origin, disability, sexual orientation, gender identity or expression, marital status, genetic information, protected veteran status, or other factors protected by federal, state, and/or local law."	EOE
"Job Location: Sunnyvale, CA"	Location_Travel
"Min Education: Bachelor Degree in Computer Science, Software Engineering or Information Systems or"	Education
related or combination of education/training and/or progressive experience.	Or_Edu_Exp
Occasional travel will be required to Central Cancer Registries (CCR) or meetings to provide technical support or for the purpose of training customer based technical staff (CCR technical staff).	Location_Travel
Experience in software development using: Microsoft.	Experience
"Experience in .NET core, micro services architecture and Docker containers – 1 year"	Experience
Experience interfacing with un-managed library written in C/C++	Experience
Experience in developing in the Team Foundation Server (TFS) environment – 4 years	Experience
"Ability to demonstrate web security knowledge, SSL certificate configuration in IIS"	Experience
"Experience deploying applications and services to cloud and in ClickOnce technology to deploy smart client applications to desktops Familiarity with administering IIS 7 & 8, MS SQL Server 2012 and newer"	Experience
Experience in setting up applications in Windows Terminal Services and Citrix environment	Experience
"Experience in Java, Java-based web frameworks, Apache and Tomcat"	Experience
Experience in cancer registry operations	Experience
Work Location:	Location_Travel
"Experience directing teams of architects, programmers, analysts and testers in a variety of small to large-scale projects."	Experience
Experienced developing the technology solution requirements for customer request for proposals.	Experience
Experience with cloud and virtualization technologies.	Experience
"Experience in developing and provide solution options and recommendations in an environment involving multiple datacenters: an in-house datacenter, co-lo datacenter, hosted datacenter, and Cloud datacenters including SaaS"	Experience
"Experience developing consensus with disparate groups, sometimes with competing agenda."	Experience
Experience developing enterprise policies for management consideration.	Experience
Experience in Microsoft Azure Identity Management and Azure Security Best Practices.	Experience
Experience with multiple cloud technologies and cloud vendors	Experience
Experience with migrating data centers from hosted data centers to cloud providers	Experience
Experience developing cloud hosting requirements for organizations migrating to the cloud	Experience
Experience with differing access control levels (ACL) per organization	Experience
Experience with Visual Studio and Team Foundation Server for application lifecycle management activities	Experience
Certification in MS Azure is a plus	Certification
experience with LAMP stack	Experience
experience with php/mysql as a backend service	Experience
experience creating REST APIs	Experience
experience building web tools with javascript/html/css	Experience
Experience building android layout editor / android studio based apps	Experience
Degree in Computer Science or a related technical/scientific discipline	Education
Experience building web connected kiosk applications or mobile apps	Experience
Experience with basic 3d or 2d apps in Unity3D	Experience
"Experience writing technical designs (UML, sequence diagrams, block diagrams, network diagrams, logic flowcharts)"	Experience
Experience creating real-time interactive systems	Experience
The Special Projects and Initiatives Team in the ISD Customer Applications Branch is seeking a Senior Application Developer to support Microsoft Azure and Amazon Web Services cloud-based software development initiatives.	Position_Role
"Experience in computer science, information systems, or network engineering."	Experience
Experience with analytic tools such a Splunk / ELK stack are necessary.	Experience
Active security clearance required: TS/SCI with Polygraph:	Authorization_Clearance
Experience in Spring and Hibernate	Experience
Applicants for employment in the US must have valid work authorization that does not now and/or will not in the future require sponsorship of a visa for employment authorization in the US by Capgemini.	Authorization_Clearance
"Experienced programmers are also responsible for interpreting architecture and design, code reviews, mentoring, guiding and monitoring programmers, ensuring adherence to programming and documentation policies, software development, testing and release."	Experience
"Qualifications: 1-2 years experience, Bachelor’s Degree."	Or_Edu_Exp
Capgemini is an Equal Opportunity Employer encouraging diversity in the workplace.	EOE
"All qualified applicants will receive consideration for employment without regard to race, national origin, gender identity/expression, age, religion, disability, sexual orientation, genetics, veteran status, marital status or any other characteristic protected by law."	EOE
Education: 2 year Associate's or technical degree (preferred) or combination of education and related work experience (required)	Or_Edu_Exp
Northrop Grumman's Mission Systems sector is seeking a Cyber Systems/Requirements Engineer level 2 or 3to	Position_Role
"Prepare milestone status reports, provide input to update the master schedule, and report deliveries on the system evaluation"	Responsibility
Bachelor's degree in Computer Science or related STEM degree field and a minimum of 2 years related experience.	Or_Edu_Exp
An additional 4 years of experience may be considered in lieu of a degree.	Or_Edu_Exp
Bachelor's degree in Computer Science or related STEM degree field and a minimum of 5 years related experience.	Or_Edu_Exp
Active TS/SCI/Poly Clearance	Authorization_Clearance
Experience with Agile methodology	Experience
Experience briefing multiple mission partners on a complex program	Experience
Experience with analytic applications	Experience
Experience working at a Customer site	Experience
"We are proud to be an Equal Opportunity/Affirmative Action Employer, making decisions without regard to race, color, religion, creed, sex, sexual orientation, gender identity, marital status, national origin, age, veteran status, disability, or any other protected class."	EOE
U.S. Citizenship is required for most positions.	Authorization_Clearance
"Requires Bachelor’s degree in Software Engineering, Computer Science, or related field"	Education
"Experience with Angular, C#, Web API & SQL Server 2016"	Experience
Experience with Agile SAF	Experience
Experience with TFS and GIT as source control required	Experience
Experience using workflow engine libraries is desirable	Experience
Proof of US Citizenship	Authorization_Clearance
Degrees Equivalent Experience/Education	Or_Edu_Exp
Bachelor's Degree	Education
Years of Experience 07-09 years w/Bachelors Degree	Or_Edu_Exp
UCSF is seeking a person to serve as a Bioinformatics Programmer in the Computational Biology and Informatics (CBI) Core at the Helen Diller Family Comprehensive Cancer Center (HDFCCC).	Position_Role
